BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving ;Duurzaam;Toepassing;Opmerking
34;33,1;10;Beglazing;HR++;HR++;nvt;nvt;nvt;8,108;170;m2;Vervangen vaste beglazing HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,15;15;Beglazing;HR+++;Triple isolatieglas HR+++ (U?0,6);nvt;nvt;nvt;9,04;215;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,2;20;Beglazing;Vacuum;Vacuüm isolatieglas (U?0,4);nvt;nvt;nvt;21;325;m2;HR+++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,25;25;Beglazing;HR++ Isomax;Dubbel isolatieglas HR++ (U?1,1);nvt;nvt;nvt;11,7;165;m2;Vacuum;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,3;30;Beglazing;HR++;Dubbel isolatieglas HR++ (U?1,1);nvt;nvt;nvt;1,2;165;m2;HR++ Isomax;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,35;35;Beglazing;HR++;Dubbel isolatieglas HR++ (U?1,1);nvt;nvt;nvt;7,46;165;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,4;40;Beglazing;HR+++;Triple isolatieglas HR+++ (U?0,6);nvt;nvt;nvt;8,75;215;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,45;45;Bodem/Vloerisolatie;Folie/thermokussen;Thermokussen bodem/vloerisolatie;60;3,88;nvt;22,68;32;m2;HR+++;0;Begane grond / kruipruimte;
34;33,5;50;Bodem/Vloerisolatie;Folie/thermokussen;Thermokussen bodem/vloerisolatie;80;4,79;nvt;20,9304;32;m2;Folie/thermokussen - 60 mm;0;Begane grond / kruipruimte;
34;33,55;55;Bodem/Vloerisolatie;EPS bodemparels;EPS isolatie parels/platen;225;5,07;nvt;20,6712;27;m2;Folie/thermokussen - 80 mm;0;Begane grond / kruipruimte;
34;33,6;60;Bodem/Vloerisolatie;EPS bodemparels;EPS isolatie parels/platen;250;5,63;nvt;20,5092;27;m2;EPS bodemparels - 225 mm;0;Begane grond / kruipruimte;
